County Name Residence,County Name Workplace,Workers in Commuting Flow
Bronx County,Kings County,21945
Bronx County,New York County,204163
Bronx County,Queens County,25193
Bronx County,Richmond County,981
Kings County,Bronx County,13829
Kings County,New York County,429343
Kings County,Queens County,70937
Kings County,Richmond County,6097
New York County,Bronx County,28865
New York County,Kings County,27938
New York County,Queens County,22256
New York County,Richmond County,1175
Queens County,Bronx County,22300
Queens County,Kings County,89969
Queens County,New York County,384517
Queens County,Richmond County,2576
Richmond County,Bronx County,1049
Richmond County,Kings County,27763
Richmond County,New York County,48783
Richmond County,Queens County,5973
